   Elapsed time	 RESP, 	PLETH, 	    V, 	  AVR, 	   II, 
      (seconds)	   (pm)	   (NU)	   (mV)	   (mV)	   (mV)
          0.000	  0.354	  0.436	  0.525	  0.304	  0.725
          0.008	  0.357	  0.432	  0.520	  0.335	  0.671
          0.016	  0.359	  0.428	  0.516	  0.375	  0.610
          0.024	  0.362	  0.424	  0.506	  0.420	  0.551
          0.032	  0.364	  0.421	  0.510	  0.449	  0.500
          0.040	  0.366	  0.418	  0.506	  0.480	  0.455
          0.048	  0.367	  0.417	  0.516	  0.510	  0.410
          0.056	  0.369	  0.416	  0.516	  0.520	  0.390
          0.064	  0.369	  0.415	  0.520	  0.535	  0.375
          0.072	  0.369	  0.414	  0.520	  0.545	  0.359
          0.080	  0.369	  0.413	  0.525	  0.545	  0.355
          0.088	  0.368	  0.412	  0.525	  0.555	  0.349
          0.096	  0.367	  0.410	  0.535	  0.551	  0.355
          0.104	  0.366	  0.408	  0.529	  0.545	  0.365
          0.112	  0.362	  0.407	  0.525	  0.545	  0.355
          0.120	  0.359	  0.407	  0.535	  0.545	  0.365
          0.128	  0.353	  0.407	  0.525	  0.545	  0.375
          0.136	  0.347	  0.408	  0.520	  0.535	  0.371
          0.144	  0.341	  0.409	  0.520	  0.529	  0.390
          0.152	  0.334	  0.409	  0.520	  0.529	  0.390
          0.160	  0.327	  0.411	  0.516	  0.529	  0.390
          0.168	  0.322	  0.412	  0.520	  0.520	  0.394
          0.176	  0.312	  0.412	  0.516	  0.520	  0.404
          0.184	  0.303	  0.411	  0.520	  0.520	  0.404
          0.192	  0.292	  0.409	  0.516	  0.520	  0.400
          0.200	  0.282	  0.407	  0.520	  0.525	  0.394
          0.208	  0.269	  0.405	  0.516	  0.529	  0.384
          0.216	  0.256	  0.405	  0.520	  0.529	  0.384
          0.224	  0.242	  0.406	  0.516	  0.529	  0.380
          0.232	  0.229	  0.409	  0.520	  0.520	  0.390
          0.240	  0.218	  0.413	  0.529	  0.516	  0.404
          0.248	  0.206	  0.420	  0.555	  0.500	  0.420
          0.256	  0.196	  0.432	  0.565	  0.506	  0.420
          0.264	  0.188	  0.453	  0.575	  0.494	  0.425
          0.272	  0.178	  0.474	  0.545	  0.500	  0.425
          0.280	  0.169	  0.496	  0.529	  0.510	  0.400
          0.288	  0.161	  0.518	  0.500	  0.520	  0.390
          0.296	  0.153	  0.535	  0.490	  0.516	  0.404
          0.304	  0.147	  0.550	  0.475	  0.516	  0.420
          0.312	  0.141	  0.564	  0.471	  0.500	  0.429
          0.320	  0.137	  0.576	  0.475	  0.500	  0.435
          0.328	  0.133	  0.585	  0.494	  0.510	  0.429
          0.336	  0.130	  0.592	  0.506	  0.520	  0.416
          0.344	  0.126	  0.596	  0.520	  0.525	  0.410
          0.352	  0.124	  0.599	  0.516	  0.520	  0.416
          0.360	  0.121	  0.601	  0.516	  0.520	  0.420
          0.368	  0.119	  0.602	  0.555	  0.525	  0.404
          0.376	  0.116	  0.603	  0.645	  0.551	  0.349
          0.384	  0.114	  0.603	  0.551	  0.384	  0.655
          0.392	  0.112	  0.601	  0.053	 -0.092	  1.504
          0.400	  0.110	  0.598	 -0.502	 -0.437	  1.504
          0.408	  0.109	  0.593	 -0.412	 -0.051	  1.504
          0.416	  0.107	  0.586	  0.200	  0.455	  0.661
          0.424	  0.106	  0.578	  0.439	  0.529	  0.429
          0.432	  0.102	  0.572	  0.506	  0.520	  0.420
          0.440	  0.099	  0.562	  0.539	  0.525	  0.404
          0.448	  0.095	  0.547	  0.565	  0.525	  0.384
          0.456	  0.090	  0.534	  0.580	  0.545	  0.349
          0.464	  0.086	  0.521	  0.596	  0.555	  0.339
          0.472	  0.082	  0.509	  0.580	  0.539	  0.355
          0.480	  0.078	  0.502	  0.565	  0.529	  0.380
          0.488	  0.075	  0.498	  0.555	  0.535	  0.380
          0.496	  0.070	  0.496	  0.555	  0.520	  0.390
          0.504	  0.065	  0.495	  0.545	  0.520	  0.404
          0.512	  0.061	  0.494	  0.539	  0.520	  0.394
          0.520	  0.055	  0.494	  0.539	  0.510	  0.404
          0.528	  0.049	  0.494	  0.529	  0.490	  0.429
          0.536	  0.044	  0.492	  0.520	  0.484	  0.435
          0.544	  0.038	  0.489	  0.520	  0.494	  0.439
          0.552	  0.033	  0.487	  0.525	  0.471	  0.461
          0.560	  0.028	  0.484	  0.535	  0.455	  0.484
          0.568	  0.024	  0.481	  0.539	  0.439	  0.516
          0.576	  0.022	  0.478	  0.525	  0.420	  0.551
          0.584	  0.020	  0.475	  0.520	  0.384	  0.606
          0.592	  0.020	  0.471	  0.516	  0.355	  0.655
          0.600	  0.019	  0.468	  0.510	  0.324	  0.696
          0.608	  0.020	  0.463	  0.500	  0.304	  0.725
          0.616	  0.022	  0.458	  0.500	  0.294	  0.741
          0.624	  0.023	  0.454	  0.490	  0.284	  0.751
          0.632	  0.026	  0.449	  0.490	  0.290	  0.741
          0.640	  0.030	  0.444	  0.475	  0.310	  0.716
          0.648	  0.035	  0.439	  0.484	  0.339	  0.665
